codigo,nombre,municipio_codigo,municipio_nombre,superficie_km2,densidad_por_km2,DATASET_SAMUR,DATASET_CENTROS_SALUD,DATASET_DEMOGRAPHICS
1,Centro,0796,Madrid,5.21,25340.69,CENTRO,CENTRO,CENTRO
2,Arganzuela,0796,Madrid,6.52,23306.44,ARGANZUELA,ARGANZUELA,ARGANZUELA
3,Retiro,0796,Madrid,5.42,21867.53,RETIRO,RETIRO,RETIRO
4,Salamanca,0796,Madrid,5.36,26830.78,SALAMANCA,SALAMANCA,SALAMANCA
5,Chamartín,0796,Madrid,9.12,15723.25,CHAMARTIN,CHAMARTIN,CHAMARTÍN
6,Tetuán,0796,Madrid,5.37,28664.25,TETUAN,TETUAN,TETUÁN
7,Chamberí,0796,Madrid,4.73,29049.26,CHAMBERI,CHAMBERI,CHAMBERÍ
8,Fuencarral-El Pardo,0796,Madrid,238.00,1003.00,FUENCARRAL,FUENCARRAL-EL PARDO,FUENCARRAL-EL PARDO
9,Moncloa-Aravaca,0796,Madrid,46.47,2515.26,MONCLOA,MONCLOA-ARAVACA,MONCLOA-ARAVACA
10,Latina,0796,Madrid,25.47,9183.75,LATINA,LATINA,LATINA
11,Carabanchel,0796,Madrid,14.10,17316.88,CARABANCHEL,CARABANCHEL,CARABANCHEL
12,Usera,0796,Madrid,7.70,17535.32,USERA,USERA,USERA
13,Puente de Vallecas,0796,Madrid,14.84,15345.01,VALLECAS PTE.,PUENTE DE VALLECAS,PUENTE DE VALLECAS
14,Moratalaz,0796,Madrid,6.08,15493.59,MORATALAZ,MORATALAZ,MORATALAZ
15,Ciudad Lineal,0796,Madrid,11.52,18455.56,CIUDAD LINEAL,CIUDAD LINEAL,CIUDAD LINEAL
16,Hortaleza,0796,Madrid,25.87,6973.33,HORTALEZA,HORTALEZA,HORTALEZA
17,Villaverde,0796,Madrid,20.21,7059.13,VILLAVERDE,VILLAVERDE,VILLAVERDE
18,Villa de Vallecas,0796,Madrid,51.49,2026.82,VILLA DE VALLECAS,VILLA DE VALLECAS,VILLA DE VALLECAS
19,Vicálvaro,0796,Madrid,35.36,1981.11,VICALVARO,VICALVARO,VICÁLVARO
20,San Blas-Canillejas,0796,Madrid,22.26,6934.37,SAN BLAS,SAN BLAS-CANILLEJAS,SAN BLAS-CANILLEJAS
21,Barajas,0796,Madrid,43.56,1076.06,BARAJAS,BARAJAS,BARAJAS
